,genres,ID,title,vote_average,vote_count,releasedate,director_gender,prod_countries
272,"Mystery, Horror",24913,April Fool's Day,5.8,74.0,1986,male,Canada
273,Horror,13549,Burnt Offerings,6.6,58.0,1976,male,Italy
274,"Fantasy, Horror",653,Nosferatu,7.7,373.0,1922,male,Germany
275,"Drama, Crime, Thriller",31640,Blood and Wine,5.5,34.0,1996,male,United Kingdom
276,Drama,7863,Shine,7.3,136.0,1996,male,Australia
277,"Comedy, Drama, Romance",12709,Ridicule,7.4,30.0,1996,male,France
278,"Drama, Mystery",64900,I Can't Sleep,5.0,1.0,1994,female,France
279,Drama,10549,Hamlet,7.3,118.0,1996,male,United Kingdom
280,"Drama, History",58102,Some Mother's Son,7.0,6.0,1996,male,United Kingdom
281,"Drama, Crime, Romance",49935,Thieves,7.0,5.0,1996,male,France
282,"Drama, History, Music",8818,Evita,5.9,122.0,1996,male,United States of America
283,"Drama, Romance",36758,The Portrait of a Lady,6.3,46.0,1996,female,United Kingdom
284,"Drama, Adventure",36040,Walkabout,7.4,111.0,1971,male,Australia
285,"Comedy, Romance",12145,Fierce Creatures,6.0,95.0,1997,male,United Kingdom
286,Drama,2892,Angel Baby,7.7,3.0,1995,male,Australia
287,Drama,14832,The Cement Garden,7.2,23.0,1993,male,France
288,"Drama, War",55936,Prisoner of the Mountains,6.6,14.0,1996,male,Russia
289,"Comedy, Romance, Foreign",58911,Hotel de Love,4.3,2.0,1996,male,Australia
290,"Drama, Romance, History",28005,Kama Sutra - A Tale of Love,5.7,36.0,1996,female,United Kingdom
291,"Action, Drama, Crime, Thriller, Mystery",9311,Smilla's Sense of Snow,6.6,61.0,1997,male,Germany
292,"Drama, Romance, Thriller",884,Crash,6.5,224.0,1996,male,Canada
293,"Comedy, Drama, Mystery",49806,The Daytrippers,6.2,11.0,1996,male,Canada
294,"Comedy, Crime",13982,8 Heads in a Duffel Bag,5.4,39.0,1997,male,United Kingdom
295,"Drama, History, War",77223,Paradise Road,6.2,21.0,1997,male,Australia
296,"Drama, Romance, Foreign",47694,Temptress Moon,7.2,6.0,1996,male,China
297,"Comedy, Drama",9977,Children of the Revolution,5.3,9.0,1996,male,Australia
298,"Action, Adventure, Thriller, Fantasy, Science Fiction",18,The Fifth Element,7.3,3962.0,1997,male,France
299,"Drama, Romance",53023,Le Bonheur,7.0,21.0,1965,female,France
300,"Comedy, Drama",15321,Twin Town,6.6,29.0,1997,male,United Kingdom
301,"Drama, Foreign",38523,Ponette,7.5,11.0,1996,male,France
302,"Comedy, Drama, Romance, Fantasy",45671,Rough Magic,6.3,7.0,1995,female,United Kingdom
303,"Drama, Romance, Foreign",26422,The Pillow Book,6.9,41.0,1996,male,France
304,"Comedy, Drama, Romance",65889,Roseanna's Grave,6.3,4.0,1997,male,Italy
305,Comedy,11956,When the Cat's Away,6.1,16.0,1996,male,France
306,Drama,266,Contempt,7.5,138.0,1963,male,France
307,Drama,124834,Mondo,7.0,3.0,1995,male,France
308,"Comedy, Drama, War",111367,For Ever Mozart,8.0,3.0,1996,male,Switzerland
309,"Science Fiction, Mystery, Horror",8413,Event Horizon,6.4,752.0,1997,male,United Kingdom
310,"Comedy, Drama",14585,In the Company of Men,6.8,45.0,1997,male,Canada
311,Drama,49462,Career Girls,7.4,15.0,1997,male,France
312,"Drama, Romance, Thriller",38295,She's So Lovely,5.3,26.0,1997,male,France
313,"Action, Thriller",9772,Air Force One,6.2,859.0,1997,male,Germany
314,Thriller,10155,U Turn,6.5,185.0,1997,male,France
315,"Comedy, Romance",20457,The Matchmaker,6.1,18.0,1997,male,Ireland
316,"Action, Crime, Thriller",18355,The Assignment,6.6,41.0,1997,male,Canada
317,Drama,68924,The Ice Storm,6.9,181.0,1997,male,France
318,Comedy,9427,The Full Monty,6.9,372.0,1997,male,United Kingdom
319,"Drama, Fantasy, Mystery, Family",29911,FairyTale: A True Story,6.2,25.0,1997,male,United Kingdom
320,"Drama, Romance",1959,Swept from the Sea,6.5,12.0,1998,female,United Kingdom
321,"Comedy, Drama, Romance, Thriller, Fantasy, Science Fiction",8067,A Life Less Ordinary,6.2,130.0,1997,male,United Kingdom
322,Drama,99002,Nenette and Boni,8.0,7.0,1997,female,France
323,"Drama, Romance, Foreign, Music",34838,The Tango Lesson,6.4,5.0,1997,female,Argentina
324,"Drama, History, War",14905,Welcome to Sarajevo,6.5,22.0,1997,male,United Kingdom
325,"Comedy, Drama",61337,Critical Care,6.1,9.0,1997,male,United States of America
326,"Comedy, Drama, Romance, Fantasy",10215,Sliding Doors,6.6,363.0,1998,male,United Kingdom
327,"Drama, Romance",45609,The Wings of the Dove,6.9,34.0,1997,male,United Kingdom
328,Drama,489,Good Will Hunting,7.9,2880.0,1997,male,Canada
329,Drama,10217,The Sweet Hereafter,6.8,108.0,1997,male,Canada
330,"Drama, Romance",12799,Full Speed,6.6,4.0,1996,male,France
