genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
"Comedy, Drama",28033,English,"Stuart Smalley, the Saturday Night Live character, comes to the big screen. Stuart, the disciple of the 12 step program, is challenged by lifes injustices.",1.390885,"Germany, United States of America",Stuart Saves His Family,5.0,6.0,1995,Harold Ramis
"Drama, Fantasy, Family",14334,English,"10-year-old Fiona is sent to live with her grandparents in a small fishing village in Donegal, Ireland. She soon learns the local legend that an ancestor of hers married a Selkie - a seal who can turn into a human. Years earlier, her baby brother was washed out to sea and never seen again, so when Fiona spies a naked little boy on the abandoned Isle of Roan Inish, she is compelled to investigate..",1.750481,"United States of America, Ireland",The Secret of Roan Inish,6.1,15.0,1994,John Sayles
"Action, Thriller",2636,English,"May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues.",10.388183,"United States of America, Peru",The Specialist,5.5,317.0,1994,Luis Llosa
"Action, Adventure, Science Fiction",2164,English,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",13.328924,"France, United States of America",Stargate,6.8,942.0,1994,Roland Emmerich
"Crime, Thriller",9905,English,Three friends discover their new flatmate dead but loaded with cash.,8.223026,United Kingdom,Shallow Grave,7.0,247.0,1994,Danny Boyle
"Comedy, Drama, Romance",36614,English,"""The Sum of Us"" is an Aussie story about a father and a son both searching for love and sharing an unconventional bond. Harry, the father, is the caring and open-minded ""mate"" that borders on annoyance. His son Jeff unsuccessfully searches for love, with the unwanted guidance of his father.",1.407427,Australia,The Sum of Us,6.0,21.0,1994,Kevin Dowling
Comedy,27993,English,"While on detention, a group of misfits and slackers have to write a letter to the President explaining what is wrong with the education system. There is only one problem, the President loves it! Hence, the group must travel to Washington to meet the Main Man.",5.05806,"United States of America, Canada",Senior Trip,5.7,23.0,1995,Kelly Makin
"Drama, Romance, War",31439,Chinese,Fugui and Jiazhen endure tumultuous events in China as their personal fortunes move from wealthy landownership to peasantry.,5.260627,"China, Hong Kong",To Live,7.7,62.0,1994,Zhang Yimou
"Drama, Romance",46797,English,"The story of the marriage of the poet TS Eliot to socialite Vivienne Haigh-Wood, which had to cope with her gynaeological and emotional problems and his growing fame.",0.704204,"United Kingdom, United States of America",Tom & Viv,5.8,8.0,1994,Brian Gilbert
"Comedy, Drama, Romance",236,English,"Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.",5.254847,"France, Australia",Muriel's Wedding,6.9,104.0,1994,P.J. Hogan
"Comedy, Drama",2759,English,"Two drag-queens and a transsexual contract to perform a drag show at a resort in Alice Springs, a resort town in the remote Australian desert. They head west from Sydney aboard their lavender bus, Priscilla. En route, it is discovered that the woman they've contracted with is the wife of one of the drag queens. Their bus breaks down, and is repaired by Bob, who travels on with them.",8.328596,Australia,"The Adventures of Priscilla, Queen of the Desert",7.2,174.0,1994,Stephan Elliott
"Drama, Music",12635,English,"Chronicles the early days of The Beatles in Hamburg, Germany. The film focuses primarily on the relationship between Stuart Sutcliffe (played by Stephen Dorff) and John Lennon (played by Ian Hart), and also with Sutcliffe's German girlfriend Astrid Kirchherr (played by Sheryl Lee).",2.487951,"Germany, United Kingdom",Backbeat,6.2,37.0,1994,Iain Softley
"Drama, Romance, Thriller",10497,English,"An embittered husband, paralyzed and in a wheelchair, buttonholes a complete stranger and begins to tell him the story of his marriage. The stranger would like to escape, but cannot. For one thing he grows fascinated by the story. For another he is mesmerized by the man's wife, who has perfected that trick of looking a man boldly in the eye until, by looking away, he concedes sexual supremacy.",11.298195,"France, United Kingdom, United States of America",Bitter Moon,7.0,115.0,1992,Roman Polanski
"Comedy, Drama, Romance",712,English,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,8.990345,United Kingdom,Four Weddings and a Funeral,6.6,654.0,1994,Mike Newell
"Drama, History",1689,English,Little Buddha is a movie about the life of Siddhartha starring Keanu Reeves and Bridget Fonda and directed by Bernardo Bertolucci.,5.681522,"France, United Kingdom, Italy, Liechtenstein",Little Buddha,6.0,76.0,1993,Bernardo Bertolucci
"Comedy, Drama",52038,English,"Alfie Byrne is a middle-aged bus conductor in Dublin in 1963. He would appear to live a life of quiet desperation: he's gay, but firmly closeted, and his sister is always trying to find him ""the right girl"". His passion is Oscar Wilde, his hobby is putting on amateur theatre productions in the local church hall. We follow him as he struggles with temptation, friendship, disapproval, and the conservative yet oddly lyrical world of Ireland in the early 1960s.",0.406113,"United Kingdom, Ireland",A Man of No Importance,6.5,2.0,1994,Suri Krishnamma
"Science Fiction, Animation",18242,English,A boy born the size of a small doll is kidnapped by a genetic lab and must find a way back to his father in this inventive adventure filmed using stop motion animation techniques.,0.381704,United Kingdom,The Secret Adventures of Tom Thumb,7.1,8.0,1993,Dave Borthwick
"Comedy, Drama, Fantasy",46924,English,One man must learn the meaning of courage across four lifetimes centuries apart.,2.783872,"United Kingdom, Japan",Being Human,5.0,15.0,1994,Bill Forsyth
